Pretty_formula,¦Ìe(10^3 cm^2/(V¡¤s)),x,y,¦Ìh(10^3 cm^2/(V¡¤s)),x,y,source
W1Si2N4,4.096742608,2.52,3.23,0.530377224,0.37,0.38,DOI:10.1039/D2NR02382B
W1Ge2N4,14.41308433,12.41,7.33,1.895046174,1.34,1.34,DOI:10.1039/D2NR02382B
W1Si2P4,8.249169655,5.18,6.42,12.22048281,10.01,7.01,DOI:10.1039/D2NR02382B
W1Ge2P4,8.756192095,5.3,6.97,10.27118786,8.78,5.33,DOI:10.1039/D2NR02382B
Cr1Si2N4,10.83617091,6.05,8.99,0.558659109,0.39,0.4,DOI:10.1039/D2NR02382B
Cr1Si2P4,1.430104891,1.06,0.96,1.427200056,0.4,1.37,DOI:10.1039/D2NR02382B
C2P4,0.48352973,0.149,0.46,2.532818391,1.913,1.66,DOI:10.1021/acsanm.2c00945
Au1Se1,10.11,NA,NA,3.350731263,0.07,3.35,DOI: 10.1039/c9nh00586b
Sb1Te1I1,0.801774282,0.739,0.311,0.274116763,0.034,0.272,DOI: 10.1063/1.5134960
Bi1Te1I1,1.36490366,1.319,0.351,0.389589528,0.102,0.376,DOI: 10.1063/1.5134960
Mo1S2,0.236190601,0.169,0.165,0.135,NA,NA,DOI:10.1142/S01291831225017042250170-1
Mo1Se2,0.154155765,0.11,0.108,0.09,NA,NA,DOI:10.1142/S01291831225017042250170-1
W1S2,0.388217722,0.277,0.272,0.379,NA,NA,DOI:10.1142/S01291831225017042250170-1
W1Se2,0.384759665,0.278,0.266,0.35,NA,NA,DOI:10.1142/S01291831225017042250170-1
Zr1Se1S1,4.144654027,1.971,3.646,0.70358013,0.495,0.5,DOI:10.1142/S01291831225017042250170-1
Hf1Se1S1,5.271772472,2.033,4.864,0.664434346,0.452,0.487,DOI:10.1142/S01291831225017042250170-1
Si1C1P4,1.534382286,1.5,0.323,173.0000423,173,0.121,DOI:10.1021/acs.jpclett.1c03708
Pb2Se2,50.79855116,35.92,35.92,7.891311678,5.58,5.58,DOI: 10.1039/c5tc00910c
Pb2S2,103.025458,72.85,72.85,3.097127702,2.19,2.19,DOI: 10.1039/c5tc00910c
